id,first_name,last_name,email,gender,age,months_as_a_customer,join_date,leave_date,join_year,city,bank_balance,monthly_income,credit_score,is_active_customer
1,Zquqjsp,Kzinjdx,rexydrr@hotmail.com,Male,25,74,2016-08-07,2022-09-25,2016,Liverpool,31327,8000,407,0
2,Juwyddl,Dkdipwi,hkpywgq@outlook.com,Female,20,45,2019-07-06,,2019,London,0,6000,508,1
3,Yjfjodr,Vbrtbkp,zojkhts@yahoo.com,Female,48,76,2015-03-15,2021-06-11,2015,Leeds,24657,9000,553,0
4,Sukpurx,Kyqvwtk,astmqkh@yahoo.com,Male,21,69,2017-07-13,,2017,Leeds,0,6000,774,1
5,Zprbudk,Ogsmodp,bcayldc@gmail.com,Female,40,12,2021-11-26,2022-12-19,2021,Leeds,95824,6000,432,0
6,Enpganc,Ejgfvek,dgsfpns@hotmail.com,Male,45,45,2017-09-23,2021-06-10,2017,Sheffield,27699,9000,675,0
7,Crhrvsz,Kelxafs,rljpwqg@hotmail.com,Male,32,39,2019-12-20,,2019,Edinburgh,0,6000,555,1
8,Sgefwkr,Mshoozk,iecpbtz@outlook.com,Female,25,44,2016-01-19,2019-09-10,2016,Birmingham,65730,6000,582,0
9,Bzfxhve,Eyfquqr,aqcybpo@outlook.com,Male,21,28,2019-11-20,2022-04-02,2019,London,74199,7000,676,0
10,Ylfcxde,Yuqogya,ejjodfr@gmail.com,Male,34,4,2020-08-19,2020-12-22,2020,Leeds,71835,7000,608,0
11,Vxydcpa,Mfzfaux,gvwmjst@hotmail.com,Male,18,65,2015-01-07,2020-06-05,2015,Other,12626,4000,540,0
12,Ggitonw,Ozysudo,ziekwhg@outlook.com,Female,43,14,2021-12-24,2023-03-14,2021,Liverpool,19086,4000,672,0
13,Xkadroa,Vkuzeei,whvxycz@outlook.com,Male,35,52,2015-05-22,2019-09-26,2015,Manchester,72246,7000,756,0
14,Nrtlzeh,Yaauddi,lunpzyf@yahoo.com,Female,37,69,2017-07-26,,2017,Bradford,0,1000,363,1
15,Iytbipt,Kyruucu,jrgtmfx@yahoo.com,Male,53,3,2015-12-07,2016-03-31,2015,Bristol,35716,9000,500,0
16,Usjavnl,Oqvqanf,mcruhnq@yahoo.com,Female,25,80,2016-01-05,2022-08-28,2016,Liverpool,45909,3000,322,0
17,Khggpbw,Dbntesx,dacdbsn@yahoo.com,Female,59,54,2015-11-27,2020-05-07,2015,Bradford,26874,9000,489,0
18,Pzhovzc,Loyvnvh,hdpbgih@outlook.com,Female,56,52,2017-04-16,2021-07-26,2017,Sheffield,44193,9000,409,0
19,Lftfwzi,Ynlxcso,wpujqbd@outlook.com,Male,33,1,2021-04-28,2021-06-07,2021,London,87957,8000,615,0
20,Rgilhtt,Rpjgvrs,hzwztqy@hotmail.com,Female,27,17,2021-08-24,2023-02-05,2021,London,83214,2000,723,0
21,Qzmaufx,Kznaphy,paahlzo@hotmail.com,Female,57,56,2017-09-04,2022-04-13,2017,Birmingham,58167,9000,686,0
22,Qrrlonx,Alfnlvp,yantwxh@yahoo.com,Male,29,32,2020-07-20,,2020,Manchester,0,4000,575,1
23,Wdmlykb,Xovdjwk,oqdvcia@yahoo.com,Female,37,56,2015-09-19,2020-05-13,2015,Edinburgh,8189,8000,428,0
24,Kmnzqip,Kdficvk,lqziqwg@outlook.com,Male,52,57,2017-03-13,2021-12-05,2017,Birmingham,8386,8000,749,0
25,Qkyupjf,Khxuxap,iaoxxrf@gmail.com,Male,42,44,2018-07-26,2022-03-24,2018,Edinburgh,77315,6000,534,0
