id,first_name,last_name,email,gender,age,months_as_a_customer,join_date,leave_date
1,Zquqjsp,Kzinjdx,rexydrr@hotmail.com,Male,25,74,2016-08-07,2022-09-25
2,Juwyddl,Dkdipwi,hkpywgq@outlook.com,Female,20,45,2019-07-06,
3,Yjfjodr,Vbrtbkp,zojkhts@yahoo.com,Female,48,76,2015-03-15,2021-06-11
4,Sukpurx,Kyqvwtk,astmqkh@yahoo.com,Male,21,69,2017-07-13,
5,Zprbudk,Ogsmodp,bcayldc@gmail.com,Female,40,12,2021-11-26,2022-12-19
6,Enpganc,Ejgfvek,dgsfpns@hotmail.com,Male,45,45,2017-09-23,2021-06-10
7,Crhrvsz,Kelxafs,rljpwqg@hotmail.com,Male,32,39,2019-12-20,
8,Sgefwkr,Mshoozk,iecpbtz@outlook.com,Female,25,44,2016-01-19,2019-09-10
9,Bzfxhve,Eyfquqr,aqcybpo@outlook.com,Male,21,28,2019-11-20,2022-04-02
10,Ylfcxde,Yuqogya,ejjodfr@gmail.com,Male,34,4,2020-08-19,2020-12-22
11,Vxydcpa,Mfzfaux,gvwmjst@hotmail.com,Male,18,65,2015-01-07,2020-06-05
12,Ggitonw,Ozysudo,ziekwhg@outlook.com,Female,43,14,2021-12-24,2023-03-14
13,Xkadroa,Vkuzeei,whvxycz@outlook.com,Male,35,52,2015-05-22,2019-09-26
14,Nrtlzeh,Yaauddi,lunpzyf@yahoo.com,Female,37,69,2017-07-26,
15,Iytbipt,Kyruucu,jrgtmfx@yahoo.com,Male,53,3,2015-12-07,2016-03-31
16,Usjavnl,Oqvqanf,mcruhnq@yahoo.com,Female,25,80,2016-01-05,2022-08-28
17,Khggpbw,Dbntesx,dacdbsn@yahoo.com,Female,59,54,2015-11-27,2020-05-07
18,Pzhovzc,Loyvnvh,hdpbgih@outlook.com,Female,56,52,2017-04-16,2021-07-26
19,Lftfwzi,Ynlxcso,wpujqbd@outlook.com,Male,33,1,2021-04-28,2021-06-07
20,Rgilhtt,Rpjgvrs,hzwztqy@hotmail.com,Female,27,17,2021-08-24,2023-02-05
21,Qzmaufx,Kznaphy,paahlzo@hotmail.com,Female,57,56,2017-09-04,2022-04-13
22,Qrrlonx,Alfnlvp,yantwxh@yahoo.com,Male,29,32,2020-07-20,
23,Wdmlykb,Xovdjwk,oqdvcia@yahoo.com,Female,37,56,2015-09-19,2020-05-13
24,Kmnzqip,Kdficvk,lqziqwg@outlook.com,Male,52,57,2017-03-13,2021-12-05
25,Qkyupjf,Khxuxap,iaoxxrf@gmail.com,Male,42,44,2018-07-26,2022-03-24
26,Ygqjxws,Joqtusw,eiamnqb@gmail.com,Female,65,22,2021-03-21,2023-01-24
27,Olsoyox,Dzvjuwe,rovhuyh@gmail.com,Male,23,4,2016-06-25,2016-11-12
28,Eybjict,Onijaaj,bfjhyyy@yahoo.com,Female,59,51,2017-08-31,2021-12-04
29,Lvgeruc,Autlafr,eabimxx@gmail.com,Male,32,48,2019-04-11,
30,Dozycsm,Tlmwvuc,gpnxfsu@outlook.com,Male,21,43,2017-09-30,2021-04-18
31,Tosusdq,Pnlptqc,iqfryyo@yahoo.com,Male,34,45,2015-02-19,2018-11-14
32,Yiremyc,Hcdhqff,rbutlla@yahoo.com,Male,26,26,2017-09-01,2019-10-26
33,Pzbyoji,Uxudrlm,nfgliai@hotmail.com,Female,46,97,2015-04-07,
34,Ddbdywp,Mqiawpy,oojaplc@hotmail.com,Male,54,30,2020-10-10,
35,Pxnluqi,Dxxnpvm,cenhvhz@hotmail.com,Female,36,81,2016-07-20,
36,Wbbdifk,Vzekwma,msasvav@hotmail.com,Male,50,18,2019-10-22,2021-04-15
37,Gkmrbbj,Zyiymhu,eyofiqk@gmail.com,Male,41,37,2020-02-19,
38,Bnwjmtn,Yqvytpk,wdlpess@hotmail.com,Male,34,40,2016-08-19,2019-12-26
39,Oslrtdw,Njfmwrt,cbyakdh@gmail.com,Female,43,18,2020-05-23,2021-11-22
40,Hvioqeh,Letfevf,xjrhcdm@outlook.com,Female,61,34,2020-06-01,
41,Blfsczk,Upnnblu,ppgithf@yahoo.com,Female,41,22,2021-04-12,2023-02-09
42,Ajdzhvx,Vdcucmq,zqkmzoy@hotmail.com,Male,43,55,2017-05-31,2021-12-17
43,Utadggj,Fploxid,qhxrcgf@yahoo.com,Male,32,3,2021-05-29,2021-09-24
44,Vhuujpn,Yhlxvgm,aaxjzqw@yahoo.com,Female,63,43,2019-09-15,
45,Heejcjy,Joucfjm,qvzhcmc@gmail.com,Male,44,38,2017-01-11,2020-03-05
46,Lsqwawn,Bhgcaog,hbcibif@hotmail.com,Male,48,42,2015-06-27,2018-12-31
47,Axvipxs,Gvjhqos,zgyjdrg@yahoo.com,Male,43,44,2019-07-30,
48,Krqsxrg,Qukgrtx,bujaiuu@yahoo.com,Male,61,31,2018-11-09,2021-06-24
49,Mkayqwv,Dxjawlr,hkajdgx@yahoo.com,Male,46,49,2019-03-05,
50,Jcmzmhh,Sronypg,ressiws@gmail.com,Male,26,55,2018-09-22,
51,Mfxcqin,Nbyuamy,lhfzgzp@gmail.com,Male,19,59,2017-12-23,2022-11-06
52,Idlhpvo,Rrcvfmb,kdulnsg@outlook.com,Male,27,58,2018-06-04,
53,Fsieeeh,Kfxswuk,labyjih@gmail.com,Male,21,37,2020-02-25,
54,Zmcacty,Kyuoyis,fvsrtxc@outlook.com,Female,35,16,2015-11-25,2017-03-27
55,Kwybueu,Glhttwu,rtzbsvr@yahoo.com,Female,33,61,2016-06-10,2021-07-11
56,Pquifxv,Evngexw,xixpdmf@outlook.com,Female,21,57,2017-09-23,2022-06-27
57,Kykiugh,Telfhqn,dqmqtzo@yahoo.com,Male,51,80,2015-02-11,2021-09-15
58,Pzackcc,Nflyxqp,sdwuiia@yahoo.com,Male,53,25,2020-09-09,2022-10-25
59,Esmpbga,Yxghlrf,yqyfgvy@outlook.com,Male,29,19,2020-05-12,2022-01-01
60,Ucdwbwt,Tdflzzy,jsmvqkg@hotmail.com,Male,48,28,2017-12-18,2020-04-24
61,Gctwfjw,Ublnbil,xypcjnv@gmail.com,Female,37,8,2021-02-08,2021-10-10
